name,jif,jif5Years,fiveYearJifQuartile,jifWithoutSelfCites,immediacyIndex
Nature Reviews Earth & Environment,42.1,42.1,Q1,41.5,11.2
Nature Reviews Nephrology,41.5,41.8,Q1,41.0,4.3
NATURE MATERIALS,41.2,45.8,Q1,40.9,8.0
Living Reviews in Relativity,40.6,33.9,Q1,40.3,12.2
Nature Reviews Endocrinology,40.5,50.2,Q1,40.2,6.8
Nature Reviews Methods Primers,39.8,39.8,N/A,39.2,5.9
Joule,39.8,44.8,Q1,39.0,9.9
EUROPEAN HEART JOURNAL,39.3,31.4,Q1,36.6,10.3
Signal Transduction and Targeted Therapy,39.3,37.2,Q1,38.7,8.0
ANNALS OF INTERNAL MEDICINE,39.2,35.3,Q1,38.5,6.0
JAMA Internal Medicine,39.0,27.3,Q1,38.5,7.2
INTENSIVE CARE MEDICINE,38.9,27.0,Q1,37.8,6.2
Nature Reviews Physics,38.5,40.5,Q1,38.3,6.1
Nature Nanotechnology,38.3,39.9,Q1,38.0,8.0
Lancet Microbe,38.2,38.2,Q1,37.9,10.5
Nature Reviews Neurology,38.1,44.3,Q1,37.8,5.8
CIRCULATION,37.8,33.2,Q1,37.0,10.3
Nature Catalysis,37.8,46.2,Q1,37.4,8.7
PROGRESS IN MATERIALS SCIENCE,37.4,42.9,Q1,37.1,6.2
Molecular Cancer,37.3,33.1,Q1,36.3,7.6
CLINICAL MICROBIOLOGY REVIEWS,36.8,37.4,Q1,36.6,4.3
Foundations and Trends in Computer Graphics and Vision,36.5,16.8,N/A,36.5,<0.1
Lancet Child & Adolescent Health,36.4,24.0,Q1,36.1,8.6
Nature Reviews Chemistry,36.3,42.1,Q1,36.0,7.2
Annual Review of Pathology-Mechanisms of Disease,36.2,32.7,Q1,36.2,8.7
Lancet Gastroenterology & Hepatology,35.7,27.0,Q1,35.3,10.5
IEEE Communications Surveys and Tutorials,35.6,35.8,Q1,34.7,8.7
Nature Photonics,34.9,38.2,Q1,34.4,6.5
NATURE REVIEWS NEUROSCIENCE,34.7,44.1,Q1,34.5,5.0
Lancet Global Health,34.3,31.5,Q1,33.9,6.0
Nature Electronics,34.3,38.6,Q1,33.5,7.1
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,33.9,22.1,Q1,33.6,14.5
MMWR Recommendations and Reports,33.7,32.2,Q1,33.7,1.0
Nature Reviews Rheumatology,33.7,29.1,Q1,33.4,5.2
PHYSIOLOGICAL REVIEWS,33.6,49.4,Q1,33.3,8.6
Cell Discovery,33.5,21.9,Q1,33.3,3.0
Annual Review of Astronomy and Astrophysics,33.3,39.8,Q1,33.1,4.6
Innovation,33.1,33.1,N/A,32.7,5.2
Foundations and Trends in Machine Learning,32.8,56.7,N/A,32.8,0.8
Energy & Environmental Science,32.5,34.9,Q1,31.8,5.9
Immunity,32.4,36.3,Q1,31.7,6.8
Electrochemical Energy Reviews,31.3,32.6,Q1,30.8,0.9
MATERIALS SCIENCE & ENGINEERING R-REPORTS,31.0,33.2,Q1,30.9,4.9
NATURE GENETICS,30.8,37.4,Q1,30.0,6.9
Lancet Digital Health,30.8,30.9,Q1,30.3,4.7
Nature Climate Change,30.7,31.4,Q1,30.2,5.5
NATURE IMMUNOLOGY,30.5,29.6,Q1,29.8,10.9
Cell Host & Microbe,30.3,25.7,Q1,29.8,7.4
Nature Human Behaviour,29.9,23.8,Q1,29.6,3.8
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,29.9,28.6,Q1,29.7,9.7
Annual Review of Immunology,29.7,33.5,Q1,29.5,6.5
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,29.5,35.8,Q1,29.3,5.9
Gastroenterology,29.4,25.8,Q1,28.6,8.4
ADVANCED MATERIALS,29.4,30.2,N/A,28.2,6.2
BEHAVIORAL AND BRAIN SCIENCES,29.3,22.4,Q1,28.8,12.9
Cancer Discovery,29.1,35.2,Q1,28.6,12.8
JAMA Neurology,29.0,22.2,Q1,28.5,3.8
Cell Metabolism,29.0,31.3,Q1,28.6,6.9
Journal of Hematology & Oncology,28.5,23.1,Q1,27.9,5.1
JAMA Oncology,28.4,29.9,Q1,27.9,5.1
SusMat,28.4,28.4,N/A,27.2,4.0
Nature Microbiology,28.3,22.9,Q1,28.0,5.1
JOURNAL OF INFECTION,28.2,15.8,Q1,27.3,9.2
Nature Biomedical Engineering,28.1,29.3,Q1,27.8,5.2
Advanced Energy Materials,27.8,27.3,Q1,26.7,4.9
Annual Review of Fluid Mechanics,27.7,25.0,Q1,27.6,12.7
Nature Sustainability,27.6,29.2,Q1,27.3,4.3
Molecular Plant,27.5,22.6,Q1,26.9,6.6
Dialogues in Human Geography,27.5,22.0,Q1,26.4,2.9
ANNALS OF THE RHEUMATIC DISEASES,27.4,21.6,Q1,24.7,6.5
Advances in Optics and Photonics,27.1,23.3,Q1,27.1,2.4
PROGRESS IN POLYMER SCIENCE,27.1,29.4,Q1,26.8,6.6
Nano-Micro Letters,26.6,22.8,Q1,25.3,12.0
JAMA Pediatrics,26.1,21.5,Q1,25.6,7.8
JAMA Psychiatry,25.8,24.0,Q1,25.3,4.7
ASTRONOMY AND ASTROPHYSICS REVIEW,25.8,27.7,Q1,25.6,5.5
JOURNAL OF HEPATOLOGY,25.7,26.2,Q1,24.6,11.3
Lancet Planetary Health,25.7,26.2,Q1,25.1,5.0
JOURNAL OF TRAVEL MEDICINE,25.7,13.0,Q1,24.4,4.1
Psychological Science in the Public Interest,25.4,44.4,Q1,25.3,4.0
Lancet Rheumatology,25.4,23.5,Q1,24.6,6.8
REVIEWS OF GEOPHYSICS,25.2,31.5,Q1,25.0,5.7
EnergyChem,25.1,29.1,N/A,24.4,7.5
NATURE NEUROSCIENCE,25.0,27.7,Q1,24.7,5.0
Science Robotics,25.0,34.0,Q1,24.3,4.6
MMWR Surveillance Summaries,24.9,35.7,Q1,24.6,6.7
EUROPEAN RESPIRATORY JOURNAL,24.9,20.4,Q1,24.1,6.2
Science Immunology,24.8,22.0,Q1,24.3,6.3
Annual Review of Psychology,24.8,29.0,Q1,24.6,8.6
Lancet Haematology,24.7,19.5,Q1,24.5,4.5
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,24.7,21.9,Q1,23.6,6.8
GUT,24.5,25.2,Q1,23.9,5.4
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,24.4,25.3,Q1,23.5,6.8
DRUG RESISTANCE UPDATES,24.3,22.5,Q1,21.4,2.5
Materials Today,24.2,28.3,Q1,23.9,4.6
Cellular & Molecular Immunology,24.1,19.1,Q1,23.8,5.7
JAMA Cardiology,24.0,19.1,Q1,23.6,3.4
Cell Stem Cell,23.9,24.9,Q1,23.3,5.5
Annual Review of Plant Biology,23.9,30.5,Q1,23.8,7.2
Nature Machine Intelligence,23.8,27.2,Q1,23.3,2.8
Annual Review of Entomology,23.8,20.7,Q1,23.6,6.3
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,23.6,26.7,Q1,22.9,9.7
Chem,23.5,25.4,Q1,23.2,5.6
EUROPEAN UROLOGY,23.4,19.9,Q1,22.8,7.8
Nature Food,23.2,23.2,Q1,22.1,4.2
COMMUNICATIONS OF THE ACM,22.7,21.6,Q1,22.6,2.1
Nature Cancer,22.7,22.7,Q1,22.3,4.5
InfoMat,22.7,22.7,Q1,22.0,5.5
Annual Review of Condensed Matter Physics,22.6,21.2,Q1,22.4,9.8
PSYCHOLOGICAL BULLETIN,22.4,30.3,Q1,22.2,1.2
PSYCHOTHERAPY AND PSYCHOSOMATICS,22.3,18.5,Q1,20.9,6.7
APPLIED CATALYSIS B-ENVIRONMENTAL,22.1,19.7,Q1,20.7,5.3
ACS Energy Letters,22.0,21.9,Q1,20.9,3.7
Nature Chemistry,21.8,23.3,Q1,21.5,4.4
NATURE CELL BIOLOGY,21.3,26.6,Q1,21.1,4.7
Academy of Management Annals,21.2,28.6,Q1,20.9,4.1
PHARMACOLOGICAL REVIEWS,21.1,23.8,Q1,21.0,4.3
Military Medical Research,21.1,12.7,Q1,20.5,1.8
Protein & Cell,21.1,16.7,Q1,20.9,1.5
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,21.0,19.0,Q1,19.7,5.6
Lancet Regional Health-Europe,20.9,20.9,N/A,20.6,6.3
Living Reviews in Solar Physics,20.9,23.8,Q1,20.6,4.7
Nature Metabolism,20.8,20.9,Q1,20.3,3.7
Annual Review of Public Health,20.8,27.4,Q1,20.5,2.6
National Science Review,20.7,22.4,Q1,20.3,6.0
PROCEEDINGS OF THE IEEE,20.6,18.9,Q1,20.4,2.3
COORDINATION CHEMISTRY REVIEWS,20.6,19.3,Q1,19.5,5.1
Carbon Energy,20.5,20.9,Q1,18.3,4.8
TRENDS IN PLANT SCIENCE,20.5,22.5,Q1,20.1,7.3
Journal of Thoracic Oncology,20.4,16.7,Q1,19.6,8.6
Energy Storage Materials,20.4,19.5,Q1,19.2,4.4
SmartMat,20.4,20.4,N/A,19.5,4.4
FUNGAL DIVERSITY,20.3,19.7,Q1,18.3,7.4
BLOOD,20.3,19.6,Q1,19.5,6.0
ENDOCRINE REVIEWS,20.3,25.8,Q1,20.1,3.0
CIRCULATION RESEARCH,20.1,22.4,Q1,19.7,3.8
Advanced Composites and Hybrid Materials,20.1,15.6,Q1,15.8,7.2
TRENDS IN COGNITIVE SCIENCES,19.9,23.0,Q1,19.6,3.5
RADIOLOGY,19.7,14.1,Q1,19.1,4.6
KIDNEY INTERNATIONAL,19.6,14.6,Q1,19.0,5.7
Nature Physics,19.5,20.9,Q1,19.2,5.1
INTERNATIONAL JOURNAL OF COMPUTER VISION,19.5,16.0,Q1,19.1,0.9
Light-Science & Applications,19.4,19.1,Q1,18.9,5.2
Eurosurveillance,19.0,11.4,Q1,18.6,6.5
Qualitative Research in Psychology,19.0,11.0,Q1,18.9,2.1
ADVANCED FUNCTIONAL MATERIALS,19.0,19.2,N/A,18.2,3.5
TRENDS IN CELL BIOLOGY,19.0,20.9,Q1,18.9,4.1
Bioactive Materials,18.9,18.9,Q1,17.7,6.9
Science Bulletin,18.9,14.2,Q1,18.5,7.9
Matter,18.9,19.8,Q1,18.4,5.3
Aggregate,18.8,18.8,N/A,17.7,2.5
BRITISH JOURNAL OF SPORTS MEDICINE,18.6,17.4,Q1,17.7,1.8
Information Fusion,18.6,17.4,Q1,17.8,1.5
PERIODONTOLOGY 2000,18.6,15.8,Q1,18.2,4.9
Annual Review of Clinical Psychology,18.4,22.8,Q1,18.3,3.4
Trends in Cancer,18.4,19.1,Q1,18.3,4.4
Nature Geoscience,18.3,19.6,Q1,18.0,3.7
ACCOUNTS OF CHEMICAL RESEARCH,18.3,21.1,Q1,18.1,4.0
EUROPEAN JOURNAL OF HEART FAILURE,18.2,16.2,Q1,16.1,8.7
ACS Central Science,18.2,17.1,Q1,18.1,2.3
Annual Review of Physiology,18.2,26.9,Q1,18.2,6.6
JOURNAL OF THE ACADEMY OF MARKETING SCIENCE,18.2,18.5,Q1,16.9,1.7
Journal of Innovation & Knowledge,18.1,13.3,Q1,15.8,3.5
REPORTS ON PROGRESS IN PHYSICS,18.1,19.3,Q1,18.1,5.3
Nature Plants,18.0,18.6,Q1,17.6,3.2
Archives of Cardiovascular Diseases Supplements,18.0,3.4,N/A,18.0,
PROGRESS IN RETINAL AND EYE RESEARCH,17.8,21.6,Q1,16.9,6.1
AMERICAN JOURNAL OF PSYCHIATRY,17.7,17.8,Q1,17.2,7.8
Nano Energy,17.6,17.5,Q1,16.3,3.5
Journal of Magnesium and Alloys,17.6,16.3,Q1,15.0,6.1
IEEE Reviews in Biomedical Engineering,17.6,,N/A,17.5,5.0
CANADIAN MEDICAL ASSOCIATION JOURNAL,17.4,13.1,Q1,16.7,2.7
Nano Today,17.4,17.9,Q1,16.8,3.0
Advanced Photonics,17.3,15.0,Q1,17.1,3.9
Annual Review of Marine Science,17.3,18.5,Q1,17.2,7.0
TRENDS IN BIOTECHNOLOGY,17.3,18.1,Q1,17.1,4.8
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,17.3,11.2,Q1,16.7,3.8
Science Translational Medicine,17.1,19.0,Q1,16.9,5.2
ACS Nano,17.1,17.1,Q1,16.4,2.8
Med,17.0,17.0,N/A,16.9,5.2
JAMA Surgery,16.9,17.4,Q1,16.3,3.7
Journal of Advanced Ceramics,16.9,12.8,Q1,15.1,4.7
Nature Ecology & Evolution,16.8,16.9,Q1,16.4,3.2
NATURE STRUCTURAL & MOLECULAR BIOLOGY,16.8,14.5,Q1,16.5,3.0
TRENDS IN ECOLOGY & EVOLUTION,16.8,18.1,Q1,16.3,5.1
TRENDS IN IMMUNOLOGY,16.8,18.2,Q1,16.7,2.7
ACM COMPUTING SURVEYS,16.6,18.0,Q1,16.5,10.2
Nature Communications,16.6,17.0,Q1,16.2,3.2
Nature Aging,16.6,16.6,N/A,16.2,2.7
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.6,15.3,Q1,15.5,3.9
Annual Review of Biochemistry,16.6,30.4,Q1,16.6,3.2
STUDIES IN MYCOLOGY,16.5,17.0,Q1,16.0,4.5
PhotoniX,16.5,16.5,Q1,15.8,3.5
Chinese Journal of Catalysis,16.5,10.7,Q1,14.8,6.2
AMERICAN PSYCHOLOGIST,16.4,16.2,Q1,16.2,2.9
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,16.4,13.8,Q1,15.7,3.2
ACADEMY OF MANAGEMENT REVIEW,16.4,17.0,Q1,16.0,5.6
Annual Review of Environment and Resources,16.4,18.1,Q1,16.1,1.3
DIABETES CARE,16.2,16.0,Q1,15.4,5.2
Neuron,16.2,18.6,Q1,15.7,4.6
Cancer Communications,16.2,14.4,Q1,15.5,3.3
One Earth,16.2,16.7,Q1,15.9,3.2
Advanced Fiber Materials,16.1,15.1,Q1,14.3,3.5
Lancet HIV,16.1,14.1,Q1,15.4,3.5
ADVANCED DRUG DELIVERY REVIEWS,16.1,17.7,Q1,15.3,3.6
INTERNATIONAL MATERIALS REVIEWS,16.1,18.6,Q1,16.1,2.4
Molecular Cell,16.0,18.4,Q1,15.4,4.5
Journal of Extracellular Vesicles,16.0,20.6,Q1,15.3,3.6
BIOTECHNOLOGY ADVANCES,16.0,16.8,Q1,15.6,4.3
JOURNAL OF CLINICAL INVESTIGATION,15.9,16.7,Q1,15.7,3.8
NEURO-ONCOLOGY,15.9,15.1,Q1,14.9,2.4
TRENDS IN NEUROSCIENCES,15.9,16.4,Q1,15.7,3.8
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,15.9,16.9,Q1,15.0,4.3
TRENDS IN MICROBIOLOGY,15.9,18.6,Q1,15.8,4.7
Small Structures,15.9,15.9,Q1,15.3,3.0
Industrial and Organizational Psychology-Perspectives on Science and Practice,15.8,10.3,Q1,14.2,7.0
PLOS MEDICINE,15.8,14.3,Q1,15.7,2.7
Journal of Industrial Information Integration,15.7,14.0,Q1,13.6,6.0
Trends in Chemistry,15.7,18.3,Q1,15.6,4.5
Environmental Chemistry Letters,15.7,14.2,Q1,14.6,3.8
ADVANCES IN COLLOID AND INTERFACE SCIENCE,15.6,14.8,Q1,15.2,4.4
Microbiome,15.5,19.4,Q1,15.1,2.0
International Journal of Surgery,15.3,7.5,Q1,14.8,3.2
JOURNAL OF EXPERIMENTAL MEDICINE,15.3,15.1,Q1,15.1,3.2
Nature Reviews Urology,15.3,16.6,Q1,14.9,2.1
TRENDS IN FOOD SCIENCE & TECHNOLOGY,15.3,16.6,Q1,14.9,4.1
npj Digital Medicine,15.2,15.2,Q1,14.7,1.9
Molecular Neurodegeneration,15.1,15.8,Q1,14.4,3.4
EClinicalMedicine,15.1,13.8,Q1,14.9,1.8
BRAIN BEHAVIOR AND IMMUNITY,15.1,11.5,Q1,14.8,2.4
Advanced Science,15.1,16.7,Q1,14.7,3.1
Chemical Engineering Journal,15.1,14.3,Q1,13.7,3.6
CRITICAL CARE,15.1,12.0,Q1,14.6,1.8
Journal of the American Chemical Society,15.0,15.1,Q1,14.1,3.4
Energy & Environmental Materials,15.0,16.5,Q1,14.1,4.9
Applied Physics Reviews,15.0,18.8,Q1,14.7,3.6
International Journal of Oral Science,14.9,10.7,Q1,14.7,1.8
NUCLEIC ACIDS RESEARCH,14.9,16.4,Q1,14.2,1.4
IEEE SIGNAL PROCESSING MAGAZINE,14.9,20.3,Q1,14.8,2.1
Annual Review of Earth and Planetary Sciences,14.9,16.1,Q1,14.9,3.0
Nature Protocols,14.8,16.9,Q1,14.7,3.1
Nature Chemical Biology,14.8,15.6,Q1,14.6,2.7
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,14.8,17.1,Q1,14.4,2.4
International Journal of Extreme Manufacturing,14.7,13.3,Q1,13.8,4.0
Annual Review of Physical Chemistry,14.7,12.5,Q1,14.7,4.8
HARVARD BUSINESS REVIEW,14.7,13.6,Q1,14.7,1.8
Mycosphere,14.6,5.0,Q1,13.4,3.7
Accounts of Materials Research,14.6,14.6,N/A,14.4,3.2
IEEE Geoscience and Remote Sensing Magazine,14.6,19.7,Q1,14.2,2.8
npj Flexible Electronics,14.6,14.1,Q1,13.9,2.3
EcoMat,14.6,14.7,Q1,13.8,3.5
BRAIN,14.5,14.6,Q1,13.9,2.9
Acta Pharmaceutica Sinica B,14.5,13.2,Q1,13.7,4.3
SEMINARS IN CANCER BIOLOGY,14.5,14.9,Q1,13.9,6.8
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,14.4,12.6,Q1,14.2,2.0
ARTIFICIAL INTELLIGENCE,14.4,14.2,Q1,14.3,5.1
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,14.3,17.4,Q1,12.9,3.6
Cell Reports Medicine,14.3,14.3,Q1,14.1,3.0
Applied Mechanics Reviews,14.3,12.6,Q1,14.2,1.5
ACTA NUMERICA,14.2,18.7,Q1,14.1,2.2
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,14.2,11.4,Q1,13.1,4.3
CLINICAL MICROBIOLOGY AND INFECTION,14.2,10.7,Q1,13.9,6.3
Nature Astronomy,14.1,13.2,Q1,13.7,3.4
Opto-Electronic Advances,14.1,12.1,Q1,13.1,4.5
Alzheimers & Dementia,14.0,18.0,Q1,13.3,2.2
JACC-Cardiovascular Imaging,14.0,14.6,Q1,13.2,6.2
HEPATOLOGY,14.0,15.6,Q1,13.5,3.4
BIOMATERIALS,14.0,13.8,Q1,13.6,2.9
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,14.0,12.2,Q1,12.6,4.0
Annual Review of Neuroscience,13.9,16.8,Q1,13.8,2.4
JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,13.8,11.1,Q1,13.0,6.6
JAMA Network Open,13.8,13.0,Q1,13.4,2.3
PLANT BIOTECHNOLOGY JOURNAL,13.8,13.2,Q1,13.4,2.2
Liver Cancer,13.8,12.5,Q1,12.8,1.3
TRENDS IN PHARMACOLOGICAL SCIENCES,13.8,15.4,Q1,13.7,4.3
TRENDS IN BIOCHEMICAL SCIENCES,13.8,16.2,Q1,13.7,3.3
QUARTERLY JOURNAL OF ECONOMICS,13.7,21.5,Q1,13.4,1.5
OPHTHALMOLOGY,13.7,12.8,Q1,13.2,3.4
Annual Review of Organizational Psychology and Organizational Behavior,13.7,27.5,Q1,13.4,5.0
Advances in Methods and Practices in Psychological Science,13.6,20.0,Q1,13.5,1.6
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,13.6,12.5,Q1,13.2,3.3
EUROPEAN JOURNAL OF EPIDEMIOLOGY,13.6,11.9,Q1,13.4,1.4
Science Advances,13.6,15.4,Q1,13.4,2.5
Big Data Mining and Analytics,13.6,9.9,N/A,13.3,3.1
JOURNAL OF HAZARDOUS MATERIALS,13.6,12.7,Q1,12.8,2.7
PROGRESS IN LIPID RESEARCH,13.6,16.1,Q1,13.3,3.1
TRENDS IN MOLECULAR MEDICINE,13.6,14.5,Q1,13.6,3.0
AUTOIMMUNITY REVIEWS,13.6,10.2,Q1,13.0,2.7
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,13.6,14.8,Q1,13.5,4.1
REMOTE SENSING OF ENVIRONMENT,13.5,14.2,Q1,12.3,2.6
JOURNAL OF MANAGEMENT,13.5,17.3,Q1,12.8,1.2
PHARMACOLOGY & THERAPEUTICS,13.5,13.7,Q1,13.4,4.1
AMERICAN JOURNAL OF BIOETHICS,13.4,12.4,Q1,9.8,12.7
Annual Review of Control Robotics and Autonomous Systems,13.4,15.2,Q1,13.1,2.2
Business Strategy and the Environment,13.4,14.3,Q1,10.8,2.6
Journal of the National Comprehensive Cancer Network,13.4,12.3,Q1,13.4,4.0
HUMAN REPRODUCTION UPDATE,13.3,17.8,Q1,13.1,2.5
Arthritis & Rheumatology,13.3,12.1,Q1,12.9,3.5
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,13.3,11.9,Q1,13.1,5.0
Materials Horizons,13.3,13.4,Q1,13.0,2.0
Small,13.3,13.2,N/A,12.8,2.6
MEDICINAL RESEARCH REVIEWS,13.3,13.4,Q1,13.3,3.1
Autophagy,13.3,14.5,Q1,13.0,1.9
Green Energy & Environment,13.3,11.7,Q1,12.8,6.2
QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,13.3,7.2,Q1,12.6,2.0
ANNALS OF TOURISM RESEARCH,13.2,12.4,Q1,12.0,2.1
AMERICAN JOURNAL OF KIDNEY DISEASES,13.2,9.9,Q1,12.9,4.3
Emerging Microbes & Infections,13.2,9.9,Q1,12.9,5.5
RESOURCES CONSERVATION AND RECYCLING,13.2,13.4,Q1,12.4,2.8
Review of Asset Pricing Studies,13.1,9.8,N/A,13.0,0.4
COMPOSITES PART B-ENGINEERING,13.1,10.8,Q1,11.6,3.7
Lancet Healthy Longevity,13.1,13.1,N/A,12.8,3.8
Journal of Energy Chemistry,13.1,11.6,Q1,12.0,4.1
AGEING RESEARCH REVIEWS,13.1,14.5,Q1,12.8,2.2
TRAC-TRENDS IN ANALYTICAL CHEMISTRY,13.1,13.1,Q1,12.5,2.7
Polymer Reviews,13.1,13.4,Q1,13.0,2.0
JACC-Heart Failure,13.0,13.6,Q1,12.7,3.9
CYTOKINE & GROWTH FACTOR REVIEWS,13.0,10.8,Q1,12.8,3.8
Biofuel Research Journal-BRJ,13.0,12.6,N/A,12.8,7.6
Analytic Methods in Accident Research,12.9,12.7,Q1,8.5,2.7
IEEE WIRELESS COMMUNICATIONS,12.9,12.6,Q1,12.7,2.0
JOURNAL OF MARKETING,12.9,14.3,Q1,12.2,2.4
ACS Catalysis,12.9,13.3,Q1,12.1,2.4
Computer Science Review,12.9,13.1,Q1,12.9,2.1
Energy Material Advances,12.9,12.9,N/A,12.2,3.3
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,12.9,18.7,Q1,12.8,1.1
Energy Economics,12.8,11.7,Q1,11.1,4.1
Engineering,12.8,13.6,Q1,12.6,2.6
WATER RESEARCH,12.8,13.3,Q1,11.6,2.7
CLINICAL PSYCHOLOGY REVIEW,12.8,16.3,Q1,12.6,2.4
JOURNAL OF AUTOIMMUNITY,12.8,9.8,Q1,12.6,1.8
Blood Cancer Journal,12.8,11.6,Q1,12.5,2.7
AMERICAN JOURNAL OF HEMATOLOGY,12.8,10.0,Q1,12.3,2.5
EXPERIMENTAL AND MOLECULAR MEDICINE,12.8,11.7,Q1,12.7,1.4
ACTA NEUROPATHOLOGICA,12.7,16.2,Q1,12.2,1.8
Tourism Management,12.7,13.1,Q1,11.7,2.4
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,12.7,12.4,Q1,11.9,2.2
Bone Research,12.7,16.4,Q1,12.1,4.0
AMERICAN JOURNAL OF PUBLIC HEALTH,12.7,11.1,Q1,12.2,2.3
Biochar,12.7,13.1,Q1,11.4,5.3
JOURNAL OF MEDICAL VIROLOGY,12.7,8.5,Q1,12.4,3.8
Small Science,12.7,12.7,N/A,12.4,5.5
JOURNAL OF ECONOMIC LITERATURE,12.6,14.6,Q1,12.5,3.8
Perspectives on Psychological Science,12.6,13.1,Q1,12.1,2.2
Clinical Gastroenterology and Hepatology,12.6,11.4,Q1,12.0,6.5
BIOSENSORS & BIOELECTRONICS,12.6,10.8,Q1,11.7,2.8
Translational Neurodegeneration,12.6,10.9,Q1,12.5,2.8
Environmental Science and Ecotechnology,12.6,12.6,Q1,11.8,4.9
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,12.6,13.6,Q1,12.4,2.3
Physical Review X,12.5,14.2,Q1,12.3,3.2
Annual Review of Pharmacology and Toxicology,12.5,13.3,Q1,12.5,6.0
TECHNOVATION,12.5,12.0,Q1,11.1,3.3
